sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,text
27,22,41,36,43,1,0,1,1,1,"العمل يرهقني لكنني اجني منه ثمارا كثيرة.
أحس أني ذو مستقبل زاهر مهنيا و شخصيا. لدي رفيق درب أستطيع أن اتكئ على كثفيه، أجده دائما مساندا و داعما لأفكار ي المهنية. المحيط الذي أعيش فيه يدعم أفكاري بكل ثقة "
35,33,39,35,46,1,1,1,1,1,ارى نفسي كانسانة متفتحة لتجارب جديدة لكنني أمل منها بسرعة، الدراسة علمتني و طورت شخصيتي بشكل كبير. اميل الى التعرب باناس جدد و مشاركة يومياتي مع الجميع رغم انني احب العزلة احيانا
38,32,36,35,43,1,1,1,1,1, دراستي تأخذ حيزا كبيرا من وقتي و اهتماماتي. بالموازنة مع الدراسة أحب الأعمال التطوعية و الاجتماعية و أسعى دائما لمساعدة الآخرين و أحب أن أرى البسمة على جميع الوجوه بدون استثناء لان ذلك يشعرني بالسعادة 
22,38,35,20,29,0,1,0,0,0,أعاني من مرض اضطراب الهلع وهذا يؤثر على عملي ودراستي وحياتي الشخصية أتابع مع أخصائي نفسي لكني لا أشعر بتحسن كبير أنا دائمة الخوف والتوتر والقلق من أبسط الأمور وثقتي بنفسي ضعيفة جدا
27,30,40,32,39,1,1,1,0,1,هناك الكثير من المسؤوليات الملقاة على عاتقي، الدراسة و العمل، واجباتي كأم و زوجة، إهتماماتي بنفسي و بمن أحب...، أحاول أن أخلق التوازن في حياتي قدر ما أستطيع، أوفق أحيانا و أخفق في أخرى لكن و الحمد لله أستمر و أثابر و أعلم أن الله لا يضيع أجر من أحسن عملا، علي فقط العمل و الإستعانة بالله و الصبر على مصائب الحياة و الله ولي التوفيق
28,29,36,38,42,1,1,1,1,1,لقد كنت شخصا لا مباريات بالدراسة و المستقبل. لكن كانت سنة البكالوريا نقطة تحول في حياتي حيث فهمت قيمة الدراسة و المثابرة. و قيمة وضع اهداف و محاولة الوصول اليها باي شكل من الأشكال. فهاذا التفكير مكاني من تقدير نفسي اكثر. و التعرف عليها اكثر. كما انني عرفت مكامن قوتي و تقبلت نقاط ضعفي
23,18,37,32,36,0,0,1,0,0,بقدر الكد تكتسب المعالي و من طلب العلا سهر الليالي ، و من طلب العلا بغير كد اضاع العمر في طلب المحال . الدكتوراه حلم بالنسبة لي ، يجب الصبر على لصعوبات ويجب المثابرة لنيلها و تحقيق الامتياز فيها ، ان الله خلق عقل الانسان الذي لا حدود له ، يجب استغلاله في البحث و اختراع شيء يفيد البشرية . اتوكل على الله و اصلي صلاة الاستخارة و الله يختار لي الطريق الذي فيه خير لي و يعينني عليه و يسخر لي الناس لمساعدتي . 
22,20,39,36,32,0,0,1,1,0,تميزت دراستي الجامعية بمجموعة من الدكريات و الاحدات التي اثرت بشكل ايجابي علي طريقة تفكيري. علمتني كيف ارتب اولوياتي  و اتعامل مع المصاعب. كما مكنتني من معرفة المشاكل التي يمر منها الطالب الجامعي الشيء الدي جعلني الان كاستادة جامعية اتعامل مع هدا الطالب مع الاخد بعين الاعتبار تلك المشاكل  
24,30,34,30,32,0,1,0,0,0,"تربية الأبناء بين حضارة الغرب و تعاليم الإسلام.
تحد كبير يواجه كل أبوين يفكران في مستقبل أبناءهم في بلاد الغربة، كيف نربي أبناءنا و المجتمع كله متربص بالإسلام و المسلمين ليملي عليهم كيف يعيشون دينهم على هوى الدولة العلمانية، كيف تنبت الفتيات على العفة و الحياء و القوانين الوضعية تجرم لبس الحجاب في المدارس، كيف تربيهم على الدفاع عن دينهم وحرية التعبير متاحة إلا لمن يتكلم باسم الإسلام.
 حصار الإعلام و القوانين السياسية و نظرات المجتمع المشبع و المسير بما يمليه أصحاب القرار يولد لدى الأجيال القادمة اما نفورا من هذا الدين الذي سيكون سببا في بغض الناس لهم و عدم قبولهم في المجتمع، أو يولد كراهية و حقدا تدفعهم للتطرف و الإرهاب. 
صنف ثالث لا إلى هؤلاء ولا إلى هؤلاء، هم خاصة الخاصة اصطفاهم الله و هدى قلوبهم للخير بهداه و أنار بصائرهم بنوره فلم ينحازوا لفتن الدنيا و زخارفها سعيا لإرضاء قرناءهم من الغربيين و لم ينحازوا لظلامية الحاقدين الذين يفسرون آيات الله على هواهم ليبرروا القتل و الإرهاب.
هذا الصنف هو غاية كل أب و أم غيورين على دين ابناءهم و صلاحهم فلا راحة لهم حتى يبلغوا بهم بر الأمان و يحموهم من براثن الشيطان
فاللهم إنا نسألك صلاح النية و الذرية، رب اجعلني مقيم الصلاة و من ذريتي ربنا و تقبل دعاء "
30,17,42,39,42,1,0,1,1,1,"انا طالبة دكتورة، و أشعر بتوتر كبير رغم اني والحمد الله في السنة التالثة ونشرت مقالا، الا اني اشعر يقلق مستمر، انا ادرس حبا في العلم وليس من اجل العمل او من اجل ان اصبح أستاذة لانها الافضل للمرأة، اطلب العلم من اجل العلم. لا اريد عمل اريد العلم و اريد.
احبك خولة."
